dimensione,dct2,lib_dct2
2,0.0002015,0.0001056
3,0.0005132,36200042814
4,0.0013469,2.68999E+11
5,0.0029359,2.74E+11
6,0.0056542,26900321245
7,0.0098218,33699907362
8,0.0157526,3.27001E+11
9,0.0243681,31199771911
10,0.036211,42399857193
11,0.0526711,78499782830
12,0.0727082,67199580371
13,0.0979712,6E+11
14,0.1324333,0.0001132
15,0.1710467,64500141889
16,0.2184429,69600064307
17,0.2771713,71199610829
18,0.3460352,77600125223
19,0.433131,77399890870
20,0.5300124,68599823862
21,0.620177,85300300270
22,0.7449094,92799775302
23,0.883801,79300254583
24,1.07023E+16,84500294179
25,1.25929E+16,79500023276
26,1.46821E+14,8759973571
27,1.6868E+16,78300014138
28,1.90508E+16,76199881732
29,2.18159E+15,85199717432
30,2.49937E+15,72699971497
31,2.84469E+16,0.0001077
32,3.27117E+14,86999963969
33,3.67665E+15,83799939603
34,4.17952E+15,88700093329
35,4.60587E+15,85299834609
36,5.09925E+15,0.0001037
37,5.8201E+15,0.0001159
38,6.40765E+15,0.0001022
39,7.13645E+15,93600247055
40,7.81035E+15,83900056779
41,8.51489E+15,0.0001367
42,9.44805E+15,91199763119
43,1.02983E+16,0.0001379
44,1.12441E+16,0.0001126
45,1.23097E+16,0.0001022
46,1.36942E+16,9919982404
47,1.47716E+15,0.0001474
48,1.61214E+16,90599991381
49,1.73122E+16,0.0001167
